t_index term df
1319 bravo 4
1320 brazen 1
1321 brazil 2
1322 brazilian 1
1323 breach 3
1324 bread 1
1325 breadbasket 2
1326 break 111
1327 breakaway 2
1328 breakdown 3
1329 breaker 1
1330 breakfast 6
1331 breakout 9
1332 breakthrough 12
1333 breakup 3
1334 breast 4
1335 breath 6
1336 breaux 1
1337 breed 5
1338 breez 6
1339 breme 1
1340 bremer 1
1341 brenton 2
1342 brevant 1
1343 brew 3
1344 brewer 1
1345 brian 15
1346 bribe 40
1347 briberi 10
1348 brick 12
1349 bride 1
1350 bridg 19
1351 bridgett 1
1352 brie 6
1353 brief 63
1354 briefli 24
1355 brien 1
1356 brig 1
1357 brigad 3
1358 bright 11
1359 brighten 2
1360 brighter 1
1361 brightest 2
1362 brightli 1
1363 brilliant 3
1364 brim 1
1365 bring 126
1366 brink 6
1367 brisk 1
1368 briskli 3
1369 bristl 3
1370 britain 37
1371 british 56
1372 briton 3
1373 broad 14
1374 broadcast 59
1375 broaden 2
1376 broader 9
1377 broadli 3
1378 broder 1
1379 brokaw 1
1380 broke 91
1381 broken 49
1382 broker 7
1383 brokerag 1
1384 bronco 1
1385 bronxvil 1
1386 bronz 2
1387 brood 1
1388 brook 3
1389 brooklyn 1
1390 broom 1
1391 brother 73
1392 brought 116
1393 brow 2
1394 brown 18
1395 broz 1
1396 bruce 1
1397 bruis 7
1398 brunei 22
1399 brunswick 1
1400 brunt 4
1401 brush 7
1402 brussel 6
1403 brutal 16
1404 bryan 4
1405 bryann 1
1406 bryant 1
1407 bt 1
1408 bu 18
1409 bubbl 2
1410 buccan 1
1411 buchanan 7
1412 buck 9
1413 bucket 4
1414 buckl 13
1415 bud 3
1416 budapest 1
1417 buddhist 1
1418 buddi 1
1419 budget 9
1420 budnev 1
1421 budor 1
1422 budsmen 1
1423 budva 1
1424 bueni 1
1425 buf 4
1426 buff 4
1427 buffalo 3
1428 buffer 1
1429 bug 5
1430 bugss 1
1431 build 170
1432 builder 6
1433 buildup 2
1434 built 29
1435 bulatov 7
1436 bulg 1
1437 bulgaria 3
1438 bulk 4
1439 bulkhead 4
1440 bulki 1
1441 bulldoz 25
1442 bullet 10
1443 bulletin 3
1444 bulletproof 3
1445 bulli 3
1446 bullzdoz 1
1447 bum 1
1448 bump 2
1449 bumper 4
1450 bumpi 1
1451 bunch 5
1452 bundl 1
1453 bungl 6
1454 bunk 5
1455 bunker 7
1456 bunkroom 1
1457 bunt 1
1458 buoy 7
1459 buraika 1
1460 burch 1
1461 burden 7
1462 bureau 33
1463 bureaucraci 4
1464 bureaucrat 7
1465 burglar 7
1466 burglari 8
1467 burgsmul 2
1468 buri 85
1469 burial 13
1470 burk 6
1471 burkhard 1
